id,clave,name,nacionalidad,designador_iata,linea_ferrea,clavetransporte_id/id
cfd_mx_traslado.cartaporte_estaciones_PM113,PM113,Telchac,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM114,PM114,Chabihau,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM115,PM115,Dzilam de Bravo,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM116,PM116,San Felipe,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM117,PM117,Río Lagartos,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM118,PM118,Las Coloradas,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM119,PM119,El Cuyo,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM120,PM120,Extranjera,Extranjera,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_EA001,EA001,Konrad Adenauer,Alemania,CGN,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA002,EA002,Rhein-Ruhr,Alemania,DUS,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA003,EA003,Münster/Osnabrück,Alemania,FMO,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA004,EA004,Rhein-Main,Alemania,FRA,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA005,EA005,Hannover,Alemania,HAJ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA006,EA006,Fuhlsbüttel,Alemania,HAM,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA007,EA007,Frankfurt-Hahn,Alemania,HHN,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA008,EA008,Franz Josef Strauss,Alemania,MUC,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA009,EA009,Nürnberg,Alemania,NUE,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA010,EA010,Prince Mohammad Bin Abdulaziz,Arabia Saudita,MED,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA011,EA011,Ingeniero Aeronáutico Ambrosio L.V. Taravella,Argentina,COR,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA012,EA012,Ministro Pistarini,Argentina,EZE,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA013,EA013,Astor Piazzolla,Argentina,MDQ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA014,EA014,Gobernador Francisco Gabrielli,Argentina,MDZ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA015,EA015,Teniente General Benjamin Matienzo,Argentina,TUC,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA016,EA016,Vienna,Austria,VIE,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA017,EA017,Grand Bahamas,Bahamas,FPO,,cartaporte_clavetransporte_03
