id,clave,name,description
cfd_mx_traslado.cartaporte_unidadpeso_L86,L86,Tonelada (flota estados unidos),
cfd_mx_traslado.cartaporte_unidadpeso_M11,M11,Yarda cúbica por grado fahrenheit,
cfd_mx_traslado.cartaporte_unidadpeso_M14,M14,Yarda cúbica por psi (libra por pulgada cuadrada),
cfd_mx_traslado.cartaporte_unidadpeso_OZA,OZA,Onza líquida (estados unidos),
cfd_mx_traslado.cartaporte_unidadpeso_BUI,BUI,Bushel (UK),"Un bushel tiene 4 pecks o 32 quarts, y equivale a 1,03205 del bushel de los Estados Unidos, que a su vez equivale a 0,35238 hectolitros. La palabra bushel está cayendo en desuso rápidamente."
cfd_mx_traslado.cartaporte_unidadpeso_BUA,BUA,Bushel (EUA),"El bushel es una unidad de medida de capacidad para mercancía sólida en los países anglosajones (países de habla inglesa). Se utiliza en el comercio de granos, harinas y otros productos análogos."
cfd_mx_traslado.cartaporte_unidadpeso_BLL,BLL,Barril (EUA),"Un barril estadounidense es igual a:
42 galones estadounidenses
168 cuartos estadounidenses
336 pintas estadounidenses
1344 gills estadounidenses
5376 onzas líquidas estadounidenses
158.987294928 litros"
cfd_mx_traslado.cartaporte_unidadpeso_BLD,BLD,Barril seco (EUA),
cfd_mx_traslado.cartaporte_unidadpeso_GLD,GLD,Galón seco (EUA),
cfd_mx_traslado.cartaporte_unidadpeso_QTD,QTD,Cuarto seco (estados unidos),
cfd_mx_traslado.cartaporte_unidadpeso_G26,G26,Estere,
cfd_mx_traslado.cartaporte_unidadpeso_G21,G21,Taza (unidad de volumen),
cfd_mx_traslado.cartaporte_unidadpeso_G24,G24,Cucharada (estados unidos),"1/2 onzas fluidas, 3 cucharaditas, 15 mililitros"
cfd_mx_traslado.cartaporte_unidadpeso_G25,G25,Cucharilla (estados unidos),1/6 onzas fluidas o 5 mililitros
cfd_mx_traslado.cartaporte_unidadpeso_G23,G23,Peck,Es una unidad de medida imperial y habitual en  Estados Unidos de volumen seco.
cfd_mx_traslado.cartaporte_unidadpeso_M67,M67,Acre-pie,"Unidad de volúmen, la cúal es usada en los Estados Unidos para medir la capacidad de las presas."
cfd_mx_traslado.cartaporte_unidadpeso_M68,M68,Cordón,Unidad tradicional del volumen de leña apilada que se ha medido con un cordón.
cfd_mx_traslado.cartaporte_unidadpeso_M69,M69,Milla cúbica (reino unido),
cfd_mx_traslado.cartaporte_unidadpeso_M70,M70,Unidad tradicional de capacidad de carga,
cfd_mx_traslado.cartaporte_unidadpeso_Q32,Q32,Femtolitro,
cfd_mx_traslado.cartaporte_unidadpeso_Q33,Q33,Picolitro,
cfd_mx_traslado.cartaporte_unidadpeso_Q34,Q34,Nanolitro,
cfd_mx_traslado.cartaporte_unidadpeso_NM3,NM3,Metro cúbico normalizado,Metros cúbicos normalizados (temperatura 0 ° C y presión 101325 milibares)
cfd_mx_traslado.cartaporte_unidadpeso_SM3,SM3,Metro cúbico estándar,Metro cúbico estándar (temperatura 15 ° C y presión 101325 milibares)
