id,clave,name
cfd_mx_traslado.cartaporte_materialpeligroso_M0111,M0111,"TRINITROTOLUENO (TNT) seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0112,M0112,TRAZADORES PARA MUNICIONES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0113,M0113,TRINITROANISOL (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0114,M0114,"TRINITROBENCENO seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0115,M0115,"ÁCIDO TRINITROBENZOICO seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0116,M0116,TRINITRO-m-CRESOL (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0117,M0117,TRINITRONAFTALENO (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0118,M0118,TRINITROFENETOL (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0119,M0119,"TRINITRORRESORCINOL (TRINITRORRESORCINA; ÁCIDO ESTÍFNICO) seco o humedecido con menos del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0120,M0120,"NITRATO DE UREA seco o humedecido con menos del 20 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0121,M0121,"CABEZAS DE COMBATE PARA TORPEDOS, con carga explosiva (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0122,M0122,NITRATO AMÓNICO
cfd_mx_traslado.cartaporte_materialpeligroso_M0123,M0123,"AZIDA DE BARIO seca o humedecida con menos del 50 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0124,M0124,MULTIPLICADORES CON DETONADOR (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0125,M0125,"CICLOTETRAMETILEN- TETRANITRAMINA (OCTÓGENO; HMX) HUMEDECIDA con un mínimo del 15 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0126,M0126,"DINITRO-o-CRESOLATO SÓDICO seco o humedecido con menos del 15 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0127,M0127,"PICRAMATO SÓDICO seco o humedecido con menos del 20 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0128,M0128,"PICRAMATO DE CIRCONIO seco
ohumedecido con menos del 20 %,
en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0129,M0129,CARGAS MOLDEADAS LINEALES FLEXIBLES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0130,M0130,COHETES LANZACABOS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0131,M0131,COHETES LANZACABOS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0132,M0132,"EXPLOSIVOS PARA VOLADURAS, TIPO E (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0133,M0133,CARGAS PROPULSORAS DE ARTILLERÍA (Producto o material explosivo)
